Time,Voltage set,Voltage measured
698277.2613682,0,0.000386
698281.4846006,1,1.00029
698285.7832099,2,2.001
698290.0834682,3,3.0019
698294.3331888,4,4.0024
698298.5820947,5,5.0017
698302.8315668,6,6.0015
698307.0809582,7,7.0027
698311.3310261,8,8.0034
698315.580832,9,9.0032
698319.8311991,10,9.4565
