VariableIn,VariableRead,Exponent
1,1000.19,e-3
1.5,1.5007,e00
2.0,2.0009,e00
2.5,2.5019,e00
3.0,3.0019,e00
3.5,3.5021,e00
4.0,4.0025,e00
4.5,4.5024,e00
5.0,5.0019,e00
5.5,5.5016,e00
6.0,6.0018,e00
6.5,6.5021,e00
7.0,7.003,e00
7.5,7.5034,e00
8.0,8.0038,e00
8.5,8.5039,e00
9.0,9.0038,e00
9.5,9.504,e00
10.0,10.0039,e00
10.5,10.5037,e00
